Customer ID,Recency,Frequency,Monetary,Avg Shipping %,AOV,Cluster,R_Score,F_Score,M_Score,RFM_Score
CUST0001,250,2,6150,2.1406666666666663,878.5714285714286,3,1,1,4,114
CUST0002,113,3,1550,3.736,140.9090909090909,0,2,2,2,222
CUST0003,56,3,4890,3.8668981481481475,407.5,0,3,2,3,323
CUST0004,3,4,5300,4.219361111111111,331.25,1,5,3,4,534
CUST0005,320,1,60,12.633333333333333,30.0,3,1,1,1,111
CUST0006,106,6,10400,3.4737925925925928,547.3684210526316,1,2,5,5,255
CUST0007,65,3,1100,5.0505555555555555,137.5,0,3,2,2,322
CUST0008,185,4,1370,5.284083333333333,97.85714285714286,3,1,3,2,132
CUST0009,85,1,200,9.565,100.0,0,3,1,1,311
CUST0010,5,6,10000,2.1208657407407405,526.3157894736842,1,5,5,5,555
CUST0011,14,4,5750,12.131187500000001,638.8888888888889,1,5,3,4,534
CUST0012,123,5,3990,5.623444444444443,285.0,1,2,4,3,243
CUST0013,141,2,1000,2.121875,125.0,0,2,1,2,212
CUST0014,14,1,300,2.44,300.0,0,5,1,1,511
CUST0015,164,2,7800,1.0547333333333333,975.0,0,1,1,5,115
CUST0016,36,5,2900,10.212125,362.5,1,4,4,3,443
CUST0017,15,1,250,5.0520000000000005,50.0,0,5,1,1,511
CUST0018,34,3,910,12.160000000000002,101.11111111111111,0,4,2,1,421
CUST0019,55,4,3750,10.266718749999999,535.7142857142857,1,3,3,3,333
CUST0020,67,2,3500,1.35984375,700.0,0,3,1,3,313
CUST0021,4,2,320,6.0325,64.0,0,5,1,1,511
CUST0022,41,5,5930,14.051266666666667,593.0,1,4,4,4,444
CUST0023,61,5,10450,2.064604444444444,497.6190476190476,1,3,4,5,345
CUST0024,24,3,2500,2.5764444444444448,500.0,0,5,2,2,522
CUST0025,37,3,1500,2.278888888888889,214.28571428571428,0,4,2,2,422
CUST0026,39,2,4300,2.9215833333333334,716.6666666666666,0,4,1,3,413
CUST0027,77,3,6850,2.5653888888888887,622.7272727272727,0,3,2,4,324
CUST0028,55,7,4850,2.878190476190476,194.0,1,3,5,3,353
CUST0029,83,2,3300,3.0026666666666664,1100.0,0,3,1,3,313
CUST0030,182,2,4400,1.47075,488.8888888888889,3,1,1,3,113
CUST0031,18,7,12800,10.239742063492063,673.6842105263158,2,5,5,5,555
CUST0032,2,4,7720,3.5703784722222225,551.4285714285714,1,5,3,5,535
CUST0033,264,1,600,2.5500000000000003,300.0,3,1,1,1,111
CUST0034,45,3,7700,7.515066666666667,855.5555555555555,1,4,2,5,425
CUST0035,107,2,270,5.845833333333333,38.57142857142857,0,2,1,1,211
CUST0036,152,4,3900,5.212328125,300.0,0,2,3,3,233
CUST0037,224,2,2600,3.1708333333333334,371.42857142857144,3,1,1,3,113
CUST0038,14,5,3050,7.064708333333333,277.27272727272725,1,5,4,3,543
CUST0039,22,4,3500,3.1119166666666667,437.5,1,5,3,3,533
CUST0040,152,2,450,3.9745,75.0,0,2,1,1,211
CUST0041,91,2,6400,0.36078125,800.0,0,2,1,4,214
CUST0042,28,3,2650,7.120708333333333,331.25,0,4,2,3,423
CUST0043,68,3,520,8.979444444444445,43.333333333333336,0,3,2,1,321
CUST0044,65,9,4550,5.613287037037037,189.58333333333334,1,3,5,3,353
CUST0045,55,3,2830,8.599722222222221,353.75,0,3,2,3,323
CUST0046,16,5,7760,12.302155555555556,862.2222222222222,1,5,4,5,545
CUST0047,72,3,2300,2.4618888888888892,383.3333333333333,0,3,2,2,322
CUST0048,100,3,1800,2.3194444444444446,257.14285714285717,0,2,2,2,222
CUST0049,36,2,2700,1.1447500000000002,540.0,0,4,1,3,413
CUST0050,164,2,1590,4.322555555555556,397.5,3,1,1,2,112
CUST0051,25,1,4500,0.3071111111111111,1500.0,0,5,1,3,513
CUST0052,111,9,5860,7.364386574074075,202.06896551724137,1,2,5,4,254
CUST0053,42,5,7550,4.151133333333333,539.2857142857143,1,4,4,4,444
CUST0054,86,3,950,12.99125,316.6666666666667,0,2,3,2,232
CUST0055,37,5,2000,8.5025,133.33333333333334,1,4,4,2,442
CUST0057,94,1,200,6.395,50.0,0,2,1,1,211
CUST0058,48,6,8500,4.080138888888889,404.76190476190476,1,4,5,5,455
CUST0059,134,4,6290,3.4250555555555557,571.8181818181819,1,2,3,4,234
CUST0060,189,5,6900,5.622166666666667,405.88235294117646,1,1,4,4,144
