Order Date,Customer ID,Product Name,Quantity,Total Price,Shipping Fee,Shipping Status,Category,Order Month,Order Day,Order Year,Is Weekend,Shipping Percentage
2023-12-08,CUST0268,Monitor,5,1500,13.31,Returned,Electronics,12,8,2023,False,0.8873333333333334
2023-04-09,CUST0046,Headphones,2,200,6.93,Delivered,Accessories,4,9,2023,True,3.465
2023-08-28,CUST0169,Monitor,1,300,11.31,Returned,Electronics,8,28,2023,False,3.7700000000000005
2023-01-18,CUST0002,Headphones,5,500,12.22,Delivered,Accessories,1,18,2023,False,2.444
2023-01-19,CUST0173,Laptop,3,4500,5.4,Delivered,Electronics,1,19,2023,False,0.12000000000000001
2023-01-11,CUST0147,Smartwatch,2,400,11.26,Delivered,Wearables,1,11,2023,False,2.815
2023-10-23,CUST0262,Smartwatch,1,200,18.38,Delivered,Wearables,10,23,2023,False,9.19
2023-06-15,CUST0159,Keyboard,2,100,15.08,Returned,Accessories,6,15,2023,False,15.079999999999998
2023-02-25,CUST0046,Mouse,1,30,8.22,Returned,Accessories,2,25,2023,True,27.400000000000002
2023-04-23,CUST0023,Headphones,3,300,10.7,Delivered,Accessories,4,23,2023,True,3.5666666666666664
2023-06-01,CUST0201,Headphones,2,200,9.8,Returned,Accessories,6,1,2023,False,4.9
2023-09-13,CUST0283,Mouse,3,90,5.65,Delivered,Accessories,9,13,2023,False,6.277777777777778
2023-02-17,CUST0199,Keyboard,5,250,7.13,Delivered,Accessories,2,17,2023,False,2.852
2023-12-10,CUST0039,Keyboard,4,200,10.91,Returned,Accessories,12,10,2023,True,5.455
2023-06-29,CUST0276,Mouse,1,30,11.36,Delivered,Accessories,6,29,2023,False,37.86666666666667
2023-07-14,CUST0143,Smartwatch,3,600,7.89,Delivered,Wearables,7,14,2023,False,1.315
2023-05-13,CUST0139,Laptop,4,6000,10.92,Delivered,Electronics,5,13,2023,True,0.182
2023-06-09,CUST0210,Smartphone,2,1600,11.44,Returned,Electronics,6,9,2023,False,0.715
2023-06-21,CUST0293,Smartwatch,5,1000,7.16,Delivered,Wearables,6,21,2023,False,0.7160000000000001
2023-11-26,CUST0049,Monitor,4,1200,17.37,Delivered,Electronics,11,26,2023,True,1.4475
2023-11-08,CUST0283,Smartphone,5,4000,12.17,Delivered,Electronics,11,8,2023,False,0.30425
2023-12-27,CUST0196,Mouse,3,90,19.41,Returned,Accessories,12,27,2023,False,21.566666666666666
2023-06-06,CUST0050,Mouse,3,90,6.97,Returned,Accessories,6,6,2023,False,7.7444444444444445
2023-10-28,CUST0007,Headphones,2,200,12.0,Delivered,Accessories,10,28,2023,True,6.0
2023-12-30,CUST0242,Smartphone,4,3200,18.11,Delivered,Electronics,12,30,2023,True,0.5659375
2023-12-04,CUST0042,Keyboard,1,50,9.6,Delivered,Accessories,12,4,2023,False,19.2
2023-02-01,CUST0264,Smartphone,2,1600,11.59,Delivered,Electronics,2,1,2023,False,0.724375
2023-08-14,CUST0053,Smartwatch,1,200,14.9,Delivered,Wearables,8,14,2023,False,7.449999999999999
2023-12-07,CUST0154,Smartphone,1,800,19.22,Delivered,Electronics,12,7,2023,False,2.4025
2023-06-28,CUST0190,Keyboard,4,200,15.31,Delivered,Accessories,6,28,2023,False,7.655000000000001
2023-11-17,CUST0038,Monitor,2,600,12.38,Returned,Electronics,11,17,2023,False,2.0633333333333335
2023-01-25,CUST0288,Laptop,4,6000,12.91,Delivered,Electronics,1,25,2023,False,0.21516666666666667
2023-09-05,CUST0124,Monitor,2,600,18.38,Delivered,Electronics,9,5,2023,False,3.063333333333333
2023-09-17,CUST0298,Headphones,5,500,7.41,Delivered,Accessories,9,17,2023,True,1.482
2023-12-25,CUST0211,Mouse,3,90,11.42,Delivered,Accessories,12,25,2023,False,12.688888888888888
2023-01-14,CUST0060,Laptop,4,6000,7.13,Delivered,Electronics,1,14,2023,True,0.11883333333333333
2023-08-01,CUST0284,Monitor,1,300,6.55,Returned,Electronics,8,1,2023,False,2.183333333333333
2023-02-12,CUST0282,Smartphone,2,1600,9.72,Delivered,Electronics,2,12,2023,True,0.6075
2023-05-18,CUST0205,Monitor,2,600,18.27,Delivered,Electronics,5,18,2023,False,3.045
2023-10-03,CUST0222,Smartphone,2,1600,6.01,Returned,Electronics,10,3,2023,False,0.375625
2023-08-30,CUST0299,Keyboard,2,100,9.57,Returned,Accessories,8,30,2023,False,9.57
2023-09-15,CUST0064,Monitor,1,300,13.82,Returned,Electronics,9,15,2023,False,4.6066666666666665
2023-02-14,CUST0073,Keyboard,4,200,5.32,Delivered,Accessories,2,14,2023,False,2.66
2023-02-27,CUST0154,Keyboard,3,150,7.46,Delivered,Accessories,2,27,2023,False,4.973333333333333
2023-08-13,CUST0081,Monitor,1,300,17.22,Returned,Electronics,8,13,2023,True,5.74
2023-05-09,CUST0247,Headphones,2,200,8.15,Delivered,Accessories,5,9,2023,False,4.075
2023-12-23,CUST0130,Monitor,2,600,9.56,Delivered,Electronics,12,23,2023,True,1.5933333333333335
2023-10-28,CUST0178,Smartwatch,3,600,18.09,Delivered,Wearables,10,28,2023,True,3.015
2023-09-01,CUST0131,Laptop,4,6000,7.01,Delivered,Electronics,9,1,2023,False,0.11683333333333333
2023-04-16,CUST0070,Monitor,3,900,12.58,Returned,Electronics,4,16,2023,True,1.3977777777777778
2023-12-13,CUST0122,Headphones,2,200,13.49,Delivered,Accessories,12,13,2023,False,6.744999999999999
2023-03-27,CUST0168,Monitor,4,1200,18.15,Delivered,Electronics,3,27,2023,False,1.5125
2023-11-16,CUST0176,Laptop,2,3000,7.43,Delivered,Electronics,11,16,2023,False,0.24766666666666665
2023-06-14,CUST0064,Laptop,2,3000,5.42,Returned,Electronics,6,14,2023,False,0.18066666666666667
2023-01-26,CUST0125,Smartphone,5,4000,10.62,Returned,Electronics,1,26,2023,False,0.26549999999999996
2023-12-25,CUST0165,Keyboard,4,200,19.72,Returned,Accessories,12,25,2023,False,9.86
2023-09-29,CUST0057,Keyboard,4,200,12.79,Delivered,Accessories,9,29,2023,False,6.395
2023-03-14,CUST0207,Laptop,1,1500,5.16,Delivered,Electronics,3,14,2023,False,0.344
2023-12-14,CUST0167,Headphones,2,200,11.65,Returned,Accessories,12,14,2023,False,5.825
